Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Malai Kofta,148,39.0,26.29,11.04,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,North Indian,"['Acidity', 'Weight_Gain']"
Lobster,519,12.08,23.3,34.07,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Favor,Favor,North Indian,"['Stress', 'Hair_Growth', 'Acidity']"
Jasmine Rice,95,36.76,32.76,1.03,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Neutral,Avoid,West Indian,['Hair_Growth']
Pumpkin,372,23.66,12.29,21.72,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,['Stress']
Idli,574,5.1,5.39,22.16,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,East Indian,"['Stress', 'Diabetes']"
Rock Salt,391,11.51,7.91,10.96,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['General_Wellness', 'Diabetes', 'Weight_Loss']"
Rock Salt,169,12.29,37.92,3.21,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,North Indian,"['Weight_Gain', 'Digestion']"
Coriander,496,18.56,59.75,2.15,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Hair_Growth', 'Stress', 'Acidity']"
Beef,149,3.72,33.1,22.09,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,East Indian,"['Immunity', 'Hair_Growth', 'Skin_Health']"
Honey,476,37.78,33.96,33.66,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Weight_Gain', 'Heart_Health']"
Palak Dal,245,28.33,31.13,32.81,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Favor,East Indian,"['Diabetes', 'Weight_Loss', 'Stress']"
Farro,574,30.12,22.87,13.53,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,East Indian,['General_Wellness']
Sugarcane Juice,118,13.14,29.65,23.7,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Neutral,South Indian,"['Joint_Pain', 'Stress', 'General_Wellness']"
Plum,541,34.94,67.89,15.2,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Heart_Health', 'Digestion', 'Acidity']"
Shrimp,464,20.3,33.35,24.83,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Hair_Growth', 'Weight_Gain']"
Spinach,240,20.15,11.22,18.73,Tikta (Bitter),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,North Indian,"['Hair_Growth', 'Heart_Health']"
Artichoke,354,28.44,39.09,22.15,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,East Indian,"['General_Wellness', 'Digestion']"
Khichdi,227,12.11,32.03,9.47,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,East Indian,['Weight_Loss']
Pomegranate,300,3.72,6.98,13.49,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Hair_Growth', 'Diabetes', 'Immunity']"
Sev Puri,525,32.89,79.98,34.88,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Stress', 'Skin_Health']"
Jaggery,203,20.93,40.72,29.18,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,['General_Wellness']
Leeks,147,26.19,46.61,3.64,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['Weight_Gain', 'Hair_Growth']"
Millet,102,15.2,20.68,20.5,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,South Indian,['Stress']
Upma,583,5.37,14.05,16.4,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Favor,South Indian,['Immunity']
Paneer,352,16.08,41.34,21.83,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,West Indian,"['Weight_Gain', 'Diabetes', 'Heart_Health']"
Okra,322,10.04,29.56,4.63,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,"['Weight_Gain', 'Skin_Health', 'Immunity']"
Black Cardamom,331,25.09,23.33,17.69,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['General_Wellness', 'Acidity']"
Bay Leaf,371,23.89,73.8,0.68,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Avoid,Neutral,West Indian,"['Diabetes', 'Immunity', 'General_Wellness']"
Chole Kulche,162,22.13,58.04,26.99,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Hair_Growth', 'Digestion']"
Mutton Curry,370,7.28,5.2,4.53,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Neutral,Avoid,East Indian,"['Weight_Gain', 'Hair_Growth']"
Thali,398,7.31,64.65,7.46,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,['Skin_Health']
Curry Leaves,72,18.67,48.31,12.76,Amla (Sour),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,South Indian,"['Weight_Loss', 'Hair_Growth', 'Acidity']"
Edamame,469,39.91,61.43,24.89,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,"['Immunity', 'Acidity']"
Beef,179,2.46,49.88,20.01,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,South Indian,"['Skin_Health', 'Weight_Loss']"
Lamb,405,36.91,64.26,1.29,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,East Indian,['Digestion']
Peas,50,35.06,43.91,20.9,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,South Indian,['Weight_Loss']
Avocado,228,11.43,48.32,6.21,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,East Indian,"['Hair_Growth', 'Digestion']"
Star Anise,112,39.88,42.66,21.04,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,['Weight_Loss']
Shrimp,162,17.23,46.97,5.86,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,West Indian,"['Diabetes', 'Stress']"
Masala Dosa,492,21.21,49.63,12.2,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Diabetes', 'General_Wellness']"
Dosa,200,34.23,14.21,30.74,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,South Indian,"['Weight_Loss', 'General_Wellness', 'Diabetes']"
Papaya,275,34.72,21.46,34.12,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,['Joint_Pain']
Beetroot,327,33.73,78.83,18.64,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,South Indian,['Diabetes']
Mozzarella,391,7.2,72.5,30.65,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Neutral,South Indian,['Immunity']
Pickle,78,16.79,26.65,12.77,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Favor,East Indian,"['Heart_Health', 'Diabetes']"
Mint,556,24.68,30.07,27.1,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['General_Wellness', 'Weight_Loss']"
Persimmon,573,15.72,11.87,32.15,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,East Indian,"['Digestion', 'Joint_Pain', 'Weight_Gain']"
Star Fruit,538,37.87,7.96,24.84,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Neutral,Favor,North Indian,"['General_Wellness', 'Joint_Pain', 'Hair_Growth']"
Tea,451,21.85,53.34,22.93,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,West Indian,"['Digestion', 'Heart_Health', 'Acidity']"
Honey,65,18.22,70.75,14.9,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,East Indian,"['Acidity', 'Weight_Gain', 'Digestion']"
Sunflower Seeds,315,5.48,30.23,18.53,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Joint_Pain', 'Acidity']"
Coconut,110,11.84,49.14,34.39,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Neutral,Neutral,Avoid,East Indian,"['Weight_Loss', 'General_Wellness', 'Immunity']"
Pakora,267,3.4,76.8,29.0,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Avoid,Neutral,South Indian,['Immunity']
Vada,169,30.42,7.61,31.37,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Stress', 'Joint_Pain', 'Weight_Loss']"
Avial,173,16.16,24.48,25.46,Amla (Sour),Shita (Cold),Amla (Sour),Neutral,Favor,Avoid,North Indian,['Hair_Growth']
Kidney Beans,265,32.3,54.38,29.85,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,East Indian,"['Weight_Gain', 'Heart_Health', 'Joint_Pain']"
Papad,475,6.9,30.13,26.15,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,East Indian,['Hair_Growth']
Kheer,375,12.77,6.38,15.41,Amla (Sour),Ushna (Hot),Katu (Pungent),Neutral,Favor,Neutral,East Indian,"['Skin_Health', 'Digestion']"
Guava,259,35.12,78.01,33.93,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,"['Skin_Health', 'Weight_Gain']"
Quinoa,446,34.46,44.53,28.99,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,West Indian,['Acidity']
Matar Paneer,556,17.55,72.06,8.43,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,East Indian,"['Weight_Loss', 'Heart_Health', 'Hair_Growth']"
Onion,398,6.99,7.44,32.27,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Favor,Avoid,South Indian,['Weight_Loss']
Nutmeg,121,19.65,56.03,14.15,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,"['Weight_Loss', 'Acidity', 'Weight_Gain']"
Besan Ladoo,291,14.41,43.83,3.53,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Stress', 'Skin_Health', 'Digestion']"
Peanut,58,37.58,8.9,19.17,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,"['Heart_Health', 'Immunity', 'General_Wellness']"
Basmati Rice,63,5.1,9.53,9.03,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,North Indian,['Stress']
Olive Oil,401,22.61,42.0,3.31,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,['Digestion']
Urad Dal,469,3.12,34.66,21.41,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,North Indian,"['Diabetes', 'Weight_Loss', 'Heart_Health']"
Bell Pepper,51,8.88,69.08,17.48,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,South Indian,"['Immunity', 'Stress', 'Weight_Gain']"
Corn,473,24.75,34.75,8.68,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Hair_Growth', 'Immunity']"
Jowar Roti,333,3.39,60.23,23.4,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,South Indian,"['Stress', 'Digestion', 'Hair_Growth']"
Quinoa,84,19.18,75.04,11.41,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,West Indian,"['General_Wellness', 'Joint_Pain', 'Skin_Health']"
Orange,200,3.14,28.09,24.81,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['Diabetes', 'Weight_Gain']"
Moong Dal,194,33.57,69.85,27.01,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,East Indian,"['Digestion', 'Stress']"
Black-eyed Peas,208,30.06,70.89,14.44,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Neutral,Avoid,West Indian,"['Digestion', 'Diabetes', 'Acidity']"
Samosa Chaat,192,28.43,34.14,15.98,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Weight_Gain', 'Hair_Growth']"
Rogan Josh,61,7.66,44.5,8.99,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,West Indian,"['Acidity', 'Hair_Growth', 'Diabetes']"
Raj Kachori,373,37.51,31.37,4.0,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Immunity', 'Stress']"
Green Tea,400,34.66,64.98,6.87,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Neutral,Favor,West Indian,"['Digestion', 'Diabetes']"
Vada Pav,59,8.64,32.06,31.75,Madhura (Sweet),Shita (Cold),Katu (Pungent),Avoid,Favor,Avoid,East Indian,"['Skin_Health', 'Stress', 'Weight_Loss']"
Garlic,532,35.03,40.47,18.97,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,['Stress']
Tofu,216,29.53,6.19,12.27,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Neutral,Avoid,East Indian,['Acidity']
Aloo Gobi,566,4.66,53.01,9.85,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,South Indian,"['Diabetes', 'Stress', 'Immunity']"
Fennel Seeds,491,38.39,18.15,24.31,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,"['Weight_Loss', 'Diabetes', 'Acidity']"
Coconut,133,25.7,11.68,26.56,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Heart_Health', 'Weight_Loss']"
Ashwagandha,456,37.81,70.5,6.08,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Favor,West Indian,['General_Wellness']
Kidney Beans,575,5.07,35.22,6.49,Amla (Sour),Ushna (Hot),Amla (Sour),Neutral,Avoid,Neutral,South Indian,['Acidity']
Kiwi,74,27.32,14.13,17.0,Katu (Pungent),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Neutral,East Indian,['Stress']
Beetroot,394,4.21,79.61,2.49,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Digestion', 'Acidity', 'Stress']"
Orange,469,22.03,36.96,5.01,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['Joint_Pain', 'Diabetes']"
Garlic,520,7.21,45.15,7.92,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,['Weight_Loss']
Eggplant,276,16.28,34.59,16.35,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,North Indian,['Weight_Loss']
Cod,249,10.62,71.7,16.05,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,North Indian,['Weight_Gain']
Chana Dal,415,39.68,77.81,33.01,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,East Indian,"['Joint_Pain', 'Skin_Health']"
Goat Cheese,431,11.91,10.19,33.61,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,South Indian,"['Weight_Gain', 'Immunity']"
Pickle,173,16.77,17.28,9.95,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Digestion', 'Joint_Pain']"
Artichoke,351,29.68,63.23,23.14,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,North Indian,"['Hair_Growth', 'Weight_Loss']"
White Rice,470,24.43,43.13,10.77,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,"['Immunity', 'Acidity', 'Hair_Growth']"
Pani Puri,540,13.82,60.68,28.62,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['Digestion', 'Skin_Health']"
Dal Makhani,119,35.31,79.73,13.21,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Acidity', 'Digestion']"
Leeks,565,21.38,59.26,4.09,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,East Indian,"['Immunity', 'Weight_Loss', 'Weight_Gain']"
Neem,68,18.73,16.06,11.82,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Avoid,Avoid,West Indian,['Stress']
Brazil Nut,127,30.39,60.5,33.29,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Favor,Avoid,South Indian,"['Stress', 'Heart_Health']"
Pumpkin,398,19.55,41.07,15.51,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Neutral,West Indian,['Acidity']
Star Fruit,597,2.51,26.21,2.04,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Neutral,Favor,East Indian,"['Weight_Gain', 'General_Wellness']"
Passion Fruit,490,15.14,28.64,27.13,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Neutral,West Indian,"['Digestion', 'Joint_Pain', 'Immunity']"
Onion,180,29.56,19.34,12.17,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,['Acidity']
Peach,403,17.35,45.69,27.81,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,North Indian,['General_Wellness']
Gulab Jamun,393,31.9,13.4,12.78,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,East Indian,"['Digestion', 'General_Wellness']"
Mozzarella,430,19.15,78.87,27.13,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Heart_Health', 'Weight_Loss']"
Cilantro,553,9.1,12.05,12.81,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,East Indian,"['Weight_Gain', 'Immunity']"
Coconut Burfi,89,21.27,49.86,1.65,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,West Indian,['Digestion']
Black Pepper,309,39.89,78.48,23.14,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,South Indian,"['Immunity', 'Weight_Gain']"
Black-eyed Peas,499,33.22,39.44,12.84,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Diabetes', 'Immunity']"
Chia Seeds,328,25.6,31.43,29.53,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Acidity', 'Skin_Health']"
Rasgulla,240,14.93,69.98,7.94,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Neutral,East Indian,['Weight_Loss']
Chaas,403,18.99,39.53,30.33,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Neutral,Favor,Favor,North Indian,"['Joint_Pain', 'Weight_Gain']"
Nectarine,333,2.68,77.21,25.57,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Digestion', 'Weight_Gain']"
Pakora,383,30.24,8.61,31.65,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,['Hair_Growth']
Raj Kachori,250,36.57,55.19,29.11,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Avoid,Favor,Neutral,South Indian,"['Weight_Gain', 'Immunity', 'General_Wellness']"
Brown Rice,228,11.02,43.43,4.1,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Favor,Favor,West Indian,"['Joint_Pain', 'Digestion', 'Skin_Health']"
Gulab Jamun,311,3.73,15.5,10.05,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,East Indian,['Skin_Health']
Pongal,390,18.66,21.39,14.19,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,East Indian,['Joint_Pain']
Artichoke,382,37.32,17.39,13.95,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Acidity', 'Diabetes']"
Sooji ka Halwa,373,16.59,39.22,13.23,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Joint_Pain', 'General_Wellness']"
Pomegranate,426,7.86,17.89,22.51,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,North Indian,['Weight_Loss']
Kofta,176,15.04,59.69,23.0,Katu (Pungent),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,North Indian,['Skin_Health']
Roti,124,24.12,32.84,21.24,Katu (Pungent),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Favor,West Indian,['Immunity']
Naan,528,32.09,49.7,3.99,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,['Hair_Growth']
Honey,479,3.18,34.1,6.02,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,['Weight_Loss']
Sooji ka Halwa,126,25.06,16.37,1.57,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,['Joint_Pain']
Lentils,432,12.27,77.48,19.74,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Diabetes', 'Joint_Pain', 'Skin_Health']"
Rasam,569,3.5,40.67,19.23,Lavana (Salty),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Avoid,East Indian,"['Digestion', 'Weight_Loss']"
Puri Bhaji,196,21.49,12.03,26.53,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,East Indian,"['Immunity', 'Joint_Pain', 'Hair_Growth']"
Parsley,414,20.11,79.71,2.55,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,South Indian,"['General_Wellness', 'Joint_Pain', 'Diabetes']"
Coriander,369,13.38,31.9,28.25,Lavana (Salty),Shita (Cold),Amla (Sour),Neutral,Favor,Neutral,East Indian,"['Acidity', 'Weight_Loss']"
Thepla,598,2.22,75.28,28.86,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Diabetes', 'Immunity']"
Tea,132,21.86,27.47,3.15,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Favor,Favor,West Indian,"['Joint_Pain', 'Skin_Health', 'General_Wellness']"
Walnut,370,22.86,21.45,1.66,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['General_Wellness', 'Digestion']"
Jasmine Rice,102,32.55,46.44,18.45,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['Joint_Pain', 'Digestion']"
Tempeh,145,24.55,72.18,20.62,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Neutral,Favor,Neutral,North Indian,['Skin_Health']
Cumin,132,36.58,33.3,33.76,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Neutral,North Indian,"['Acidity', 'Hair_Growth', 'Stress']"
Pomegranate,501,28.7,27.35,4.14,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Neutral,East Indian,['Stress']
Rice,149,34.31,20.9,23.18,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,South Indian,['Heart_Health']
Green Gram,537,19.79,48.44,3.44,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Weight_Loss', 'Digestion', 'Immunity']"
White Chocolate,436,17.36,44.82,21.03,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Avoid,East Indian,"['Diabetes', 'Joint_Pain', 'Heart_Health']"
Amla,440,2.67,27.0,27.17,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,['Weight_Gain']
Black-eyed Peas,108,13.51,9.93,8.37,Amla (Sour),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,South Indian,['Hair_Growth']
Thali,541,25.55,72.21,29.73,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Acidity', 'Skin_Health', 'Digestion']"
Bell Pepper,538,28.22,56.76,32.61,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Neutral,West Indian,"['General_Wellness', 'Digestion']"
Sesame Oil,272,3.67,17.43,15.87,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Neutral,South Indian,"['Weight_Loss', 'Immunity', 'General_Wellness']"
Appam,188,19.44,73.95,6.58,Kashaya (Astringent),Shita (Cold),Amla (Sour),Neutral,Favor,Avoid,West Indian,['Weight_Loss']
